,APMT,APMT,APMT,APMT,APMT,APMT,APMT,Non APMT,Non APMT,Non APMT,Non APMT,Non APMT,Non APMT,Non APMT
,0-250,250-1000,1000-4000,4000-8000,8000-12000,12000-16000,16000-30000,0-250,250-1000,1000-4000,4000-8000,8000-12000,12000-16000,16000-30000
month,,,,,,,,,,,,,,
July,0.12096774193548387,0.3790322580645161,0.3185483870967742,0.08064516129032258,0.020161290322580645,0.020161290322580645,0.06048387096774194,0.09269162210338681,0.4741532976827095,0.32085561497326204,0.0338680926916221,0.0338680926916221,0.016042780748663103,0.0285204991087344
August,0.09504132231404959,0.41735537190082644,0.32231404958677684,0.07851239669421488,0.028925619834710745,0.02066115702479339,0.0371900826446281,0.1140819964349376,0.4563279857397504,0.31016042780748665,0.030303030303030304,0.0338680926916221,0.016042780748663103,0.0392156862745098
September,0.11894273127753303,0.41409691629955947,0.2775330396475771,0.07048458149779736,0.02643171806167401,0.01762114537444934,0.07488986784140969,0.08433734939759036,0.4836488812392427,0.31841652323580033,0.0378657487091222,0.03098106712564544,0.01549053356282272,0.029259896729776247
October,0.14414414414414414,0.36486486486486486,0.32432432432432434,0.06756756756756757,0.036036036036036036,0.02252252252252252,0.04054054054054054,0.0847750865051903,0.48961937716262977,0.3096885813148789,0.04152249134948097,0.031141868512110725,0.01903114186851211,0.02422145328719723
November,0.13,0.37,0.34,0.065,0.03,0.01,0.055,0.09205776173285199,0.48014440433212996,0.30505415162454874,0.04332129963898917,0.03429602888086643,0.010830324909747292,0.03429602888086643
December,0.125,0.3854166666666667,0.296875,0.10416666666666667,0.046875,0.0,0.041666666666666664,0.07436399217221135,0.5048923679060665,0.2857142857142857,0.04500978473581213,0.03913894324853229,0.01761252446183953,0.033268101761252444
January,0.07766990291262135,0.36893203883495146,0.36893203883495146,0.09223300970873786,0.038834951456310676,0.009708737864077669,0.043689320388349516,0.07869481765834933,0.5335892514395394,0.272552783109405,0.036468330134357005,0.0345489443378119,0.019193857965451054,0.02495201535508637
