Terminal,0-250,250-1000,1000-4000,4000-8000,8000-12000,12000-16000,16000-30000
APMT Maasvlakte I,14.772727272727273,38.63636363636363,31.198347107438018,9.50413223140496,3.925619834710744,1.0330578512396695,0.9297520661157025
APMT Maasvlakte II,6.151142355008787,38.664323374340945,33.567662565905096,5.272407732864675,1.9332161687170473,2.2847100175746924,12.126537785588752
East & West ECT Delta,4.490828589500316,45.857052498418724,31.05629348513599,7.2738772928526245,6.578115117014548,1.5812776723592663,3.1625553447185326
Rotterdam Short Sea Terminal,20.14622258326564,61.33225020308692,18.44029244516653,0.08123476848090982,0.0,0.0,0.0
Rotterdam World Gateway,2.3696682464454977,38.67298578199052,43.317535545023695,3.033175355450237,2.5592417061611377,3.6018957345971563,6.4454976303317535
