,APMT,Non APMT
Unifeeder,9.499024072869226,21.17920868890613
BG Freight Line,25.178919973975276,8.818205327126972
X-Press Feeders,9.824333116460638,12.82648047582105
Unknown,12.687052700065063,6.516679596586501
Samskip North Atlantic Logistics,0.06506180871828238,10.292216188259633
CMA CGM,4.619388418998048,7.395914145332299
Containerships Group,4.749512036434613,7.266614946987329
Maersk Line,17.631750162654523,0.3878975950349108
