imo,vesteu
9321902,1000-4000
9322009,1000-4000
9322011,1000-4000
9322308,4000-8000
9322475,4000-8000
9322542,250-1000
9323039,1000-4000
9323467,250-1000
9323479,250-1000
9323481,1000-4000
9324837,4000-8000
9324875,4000-8000
9326835,1000-4000
9326964,250-1000
9326976,250-1000
9326990,250-1000
9327047,0-250
9327578,1000-4000
9328027,250-1000
9328041,250-1000
9328625,250-1000
9328637,1000-4000
9328649,1000-4000
9329526,4000-8000
9332169,0-250
9332638,0-250
9333345,250-1000
9333357,250-1000
9333383,1000-4000
9333395,1000-4000
9333450,0-250
9333838,4000-8000
9334351,1000-4000
9334569,0-250
9335197,4000-8000
9335202,4000-8000
9336244,250-1000
9337511,0-250
9337638,4000-8000
9337640,4000-8000
9337652,4000-8000
9337664,4000-8000
9337676,4000-8000
9339272,8000-12000
9339296,8000-12000
9339595,1000-4000
9341964,250-1000
9344253,250-1000
9344382,0-250
9344564,1000-4000
9344667,1000-4000
9344710,1000-4000
9346029,0-250
9346811,0-250
9347633,250-1000
9348168,1000-4000
9348936,0-250
9348948,0-250
9349215,250-1000
9349227,250-1000
9349538,4000-8000
9349813,4000-8000
9350018,4000-8000
9350020,4000-8000
9351581,4000-8000
9352224,0-250
9353735,250-1000
9354325,250-1000
9354337,250-1000
9354351,1000-4000
9354375,250-1000
9354430,250-1000
9354454,250-1000
9354466,250-1000
9355331,1000-4000
9355343,1000-4000
9355367,1000-4000
9355446,250-1000
9355458,250-1000
9356490,0-250
9356529,0-250
9357107,1000-4000
9357236,0-250
9358931,0-250
9359260,1000-4000
9360984,250-1000
9361108,0-250
9363417,1000-4000
9365491,0-250
9365960,250-1000
9365984,250-1000
9365996,250-1000
9367762,0-250
9368041,250-1000
9369057,0-250
9372200,1000-4000
9372470,4000-8000
9372872,1000-4000
9373266,0-250
9373280,0-250
9373539,0-250
9374739,0-250
9374973,250-1000
9375111,250-1000
9375252,250-1000
9375575,0-250
9375812,0-250
9375824,0-250
9375836,0-250
9375850,0-250
9376024,250-1000
9378723,0-250
9380403,4000-8000
9381380,0-250
9382748,0-250
9386524,1000-4000
9387592,1000-4000
9388510,250-1000
9388522,250-1000
9389306,250-1000
9389382,4000-8000
9389411,4000-8000
9390111,0-250
9391153,0-250
9391658,0-250
9392925,1000-4000
9393022,8000-12000
9393307,8000-12000
9393383,0-250
9394260,0-250
9394870,1000-4000
9394894,1000-4000
9395147,8000-12000
9395159,8000-12000
9395161,8000-12000
9395214,0-250
9395575,250-1000
9396696,1000-4000
9397236,0-250
9397638,0-250
9398371,8000-12000
9398773,1000-4000
9399026,12000-16000
9399040,12000-16000
9399052,12000-16000
9399351,0-250
9399741,1000-4000
9399806,1000-4000
9400095,4000-8000
9400100,4000-8000
9400174,4000-8000
9401104,8000-12000
9401130,12000-16000
9401142,12000-16000
9401697,1000-4000
9402029,1000-4000
9402653,0-250
9403396,4000-8000
9403619,4000-8000
9404089,250-1000
9404091,250-1000
9404584,0-250
9406049,0-250
9406611,4000-8000
9406623,4000-8000
9409194,4000-8000
9409352,1000-4000
9410002,0-250
9410765,8000-12000
9410789,8000-12000
9411745,0-250
9411795,0-250
9412517,1000-4000
9412529,250-1000
9412531,250-1000
9415246,0-250
9416434,0-250
9416965,4000-8000
9416977,4000-8000
9416989,4000-8000
9416991,4000-8000
9417244,8000-12000
9418937,0-250
9419785,1000-4000
9420863,0-250
9421099,0-250
9421611,0-250
9421623,0-250
9421635,0-250
9423736,0-250
9424869,0-250
9425382,4000-8000
9426817,4000-8000
9426855,0-250
9428217,250-1000
9429194,1000-4000
9429211,250-1000
9429223,250-1000
9429235,1000-4000
9429261,250-1000
9429273,250-1000
9430260,0-250
9430363,4000-8000
9430375,4000-8000
9431018,0-250
9431587,0-250
9432220,1000-4000
9432866,0-250
9433341,0-250
9433456,250-1000
9434462,1000-4000
9434905,1000-4000
9434931,1000-4000
9434943,1000-4000
9436197,250-1000
9436202,250-1000
9436214,250-1000
9436290,250-1000
9436367,8000-12000
9436458,1000-4000
9438389,250-1000
9440576,250-1000
9440588,250-1000
9440801,4000-8000
9444273,4000-8000
9444716,4000-8000
9444728,4000-8000
9444730,4000-8000
9444742,4000-8000
9446104,1000-4000
9447859,8000-12000
9447873,8000-12000
9447914,8000-12000
9448683,1000-4000
9448748,8000-12000
9448774,8000-12000
9448815,8000-12000
9449443,0-250
9449819,8000-12000
9450351,8000-12000
9450375,8000-12000
9450399,8000-12000
9450404,8000-12000
9450428,8000-12000
9450430,8000-12000
9450911,4000-8000
9450923,4000-8000
9450935,4000-8000
9451226,0-250
9452218,0-250
9454242,1000-4000
9454383,0-250
9454888,0-250
9456721,0-250
9456733,250-1000
9456745,250-1000
9456783,12000-16000
9456965,4000-8000
9458975,1000-4000
9459137,0-250
9459278,4000-8000
9460136,0-250
9461374,12000-16000
9461415,12000-16000
9461465,8000-12000
9461489,8000-12000
9461594,1000-4000
9462043,8000-12000
9462794,1000-4000
9463281,4000-8000
9463877,0-250
9464687,4000-8000
9465095,8000-12000
9465253,12000-16000
9465291,12000-16000
9465318,12000-16000
9465411,1000-4000
9465423,1000-4000
9465435,1000-4000
9466867,12000-16000
9467201,0-250
9467213,0-250
9467287,12000-16000
9467299,12000-16000
9467407,12000-16000
9467433,12000-16000
9471202,4000-8000
9471214,4000-8000
9471226,4000-8000
9472000,0-250
9472141,12000-16000
9472153,12000-16000
9472177,12000-16000
9473236,0-250
9474383,1000-4000
9474395,1000-4000
9478470,0-250
9479577,0-250
9479943,0-250
9480124,250-1000
9480136,250-1000
9480150,0-250
9480174,4000-8000
9480203,4000-8000
9480368,0-250
9483334,1000-4000
9483346,1000-4000
9483358,1000-4000
9483669,1000-4000
9483671,1000-4000
9483695,1000-4000
9483865,0-250
9485356,0-250
9486180,0-250
9491379,0-250
9491472,1000-4000
9491496,1000-4000
9491745,0-250
9492505,1000-4000
9492701,4000-8000
9494668,0-250
9496460,4000-8000
9496587,0-250
9497000,0-250
9501679,0-250
9501887,0-250
9502312,1000-4000
9502817,0-250
9502908,12000-16000
9502910,12000-16000
9503536,0-250
9504035,1000-4000
9504047,250-1000
9504059,1000-4000
9504061,1000-4000
9504073,1000-4000
9504724,0-250
9507362,0-250
9507611,0-250
9507984,0-250
9508823,0-250
9513646,250-1000
9514755,1000-4000
9515022,0-250
9516404,12000-16000
9516478,12000-16000
9517434,1000-4000
9518220,0-250
9518256,0-250
9518268,0-250
9520041,12000-16000
9525869,12000-16000
9528495,0-250
9534365,0-250
9535163,4000-8000
9536076,0-250
9539494,1000-4000
9540546,0-250
9545039,0-250
9557408,0-250
9557410,0-250
9558397,0-250
9559626,0-250
9563732,0-250
9563744,0-250
9566746,0-250
9569970,8000-12000
9571325,1000-4000
9571521,0-250
9574042,0-250
9579456,0-250
9580780,0-250
9580998,0-250
9584475,1000-4000
9584487,1000-4000
9588079,8000-12000
9588093,8000-12000
9590618,0-250
9591820,0-250
9592599,250-1000
