,0,1,2
len of target_apmt_port_calls_df,244,236,219
len of target_non_apmt_port_calls_df,968,943,952
apmt_port_calls_moor_data,"[{'9647473': 66.01444444444445}, {'9328027': 8.051111111111112}, {'9129469': 4.985833333333333}, {'9514755': 5.089166666666666}, {'9803699': 5.964166666666666}, {'9632090': 53.005833333333335}, {'9298698': 16.0}, {'9584475': 13.015277777777778}, {'9631113': 20.999444444444446}, {'9803699': 3.0008333333333335}, {'9374739': 94.00777777777778}, {'9354466': 15.005277777777778}, {'9622215': 21.000555555555554}, {'9302255': 5.0}, {'9321536': 45.9825}, {'9491496': 21.018055555555556}, {'9080675': 27.05388888888889}, {'9775737': 13.038055555555555}, {'9803675': 8.982222222222223}, {'9803699': 6.043055555555555}, {'9514755': 8.012222222222222}, {'9483671': 1.9783333333333333}, {'9221839': 25.014722222222222}, {'9584487': 10.999444444444444}, {'9402029': 39.96277777777778}, {'9803675': 4.051111111111111}, {'9431587': 23.001944444444444}, {'9805568': 16.985833333333332}, {'9444716': 36.91277777777778}, {'9313199': 7.999444444444444}, {'9299501': 7.0055555555555555}, {'9803687': 18.050833333333333}, {'9619933': 20.0}, {'9194309': 19.031666666666666}, {'9803687': 8.1}, {'9326964': 4.997222222222222}, {'9483346': 3.9877777777777776}, {'9803675': 8.999166666666667}, {'9778820': 53.01888888888889}, {'9363417': 9.0}, {'9388522': 10.998888888888889}, {'9440588': 16.970277777777778}, {'9401697': 22.985555555555557}, {'9754446': 3.0016666666666665}, {'9129469': 4.995}, {'9483346': 1.9997222222222222}, {'9375812': 24.023055555555555}, {'9318113': 10.99611111111111}, {'9349227': 8.005555555555556}, {'9328027': 6.023888888888889}, {'9851220': 35.00194444444445}, {'9211482': 47.0275}, {'9368041': 17.0}, {'9129469': 3.082777777777778}, {'9242338': 6.689166666666667}, {'9803699': 14.000277777777777}, {'9374973': 10.02361111111111}, {'9368041': 4.036666666666667}, {'9235543': 13.004722222222222}, {'9328027': 6.000555555555556}, {'9461374': 64.08638888888889}, {'9129469': 1.8447222222222222}, {'9302243': 4.002777777777778}, {'9129469': 3.0172222222222222}, {'9162227': 39.035833333333336}, {'9235543': 14.009722222222223}, {'9355446': 2.970833333333333}, {'9264714': 1.0025}, {'9803699': 25.9425}, {'9264714': 7.999722222222222}, {'9619933': 72.00888888888889}, {'9242338': 4.000555555555556}, {'9326990': 17.980833333333333}, {'9354454': 3.953611111111111}, {'9803704': 7.041111111111111}, {'9348168': 16.00138888888889}, {'9430363': 33.030277777777776}, {'9354375': 3.0}, {'9156187': 14.094444444444445}, {'9355343': 28.00888888888889}, {'9803704': 8.033055555555556}, {'9354351': 34.01361111111111}, {'9302255': 1.551111111111111}, {'9354454': 9.990277777777777}, {'9514755': 13.0625}, {'9622203': 23.004166666666666}, {'9803675': 10.000277777777777}, {'9785445': 16.015}, {'9514755': 8.008055555555556}, {'9197777': 12.984166666666667}, {'9775749': 10.0}, {'9412531': 17.0}, {'9344253': 7.008333333333334}, {'9647473': 40.013333333333335}, {'9504047': 13.000277777777777}, {'9803675': 8.000277777777777}, {'9504059': 7.97}, {'9632064': 58.08277777777778}, {'9315214': 19.995277777777776}, {'9375836': 14.019722222222223}, {'9129469': 11.986666666666666}, {'9504047': 5.949722222222222}, {'9354351': 9.950277777777778}, {'9803699': 7.983333333333333}, {'9129469': 6.039166666666667}, {'9803687': 10.0}, {'9328027': 13.051388888888889}, {'9226188': 6.006666666666667}, {'9354375': 12.965277777777779}, {'9454888': 2.5680555555555555}, {'9215311': 32.00222222222222}, {'9349227': 8.022777777777778}, {'9368041': 7.000555555555556}, {'9129469': 25.04083333333333}, {'9803699': 21.0}, {'9349227': 8.0}, {'9368041': 2.95}, {'9337511': 133.1186111111111}, {'9368041': 17.000833333333333}, {'9328027': 11.976944444444445}, {'9432220': 13.000277777777777}, {'9783497': 13.045}, {'9622241': 54.014722222222225}, {'9129469': 4.022222222222222}, {'9803699': 4.993611111111111}, {'9803687': 9.956111111111111}, {'9775749': 7.999722222222222}, {'9220897': 19.000555555555554}, {'9313199': 4.020833333333333}, {'9456733': 84.00222222222222}, {'9224049': 9.0}, {'9775749': 15.000277777777777}, {'9355446': 2.971388888888889}, {'9326976': 3.0211111111111113}, {'9355446': 1.9861111111111112}, {'9778844': 72.96055555555556}, {'9409352': 28.987222222222222}, {'9334351': 10.0025}, {'9305312': 23.912777777777777}, {'9805568': 14.0}, {'9354454': 5.993888888888889}, {'9326964': 9.048055555555555}, {'9372200': 17.975555555555555}, {'9803704': 8.055555555555555}, {'9365996': 2.0}, {'9401697': 39.999722222222225}, {'9778533': 22.0}, {'9354454': 12.004444444444445}, {'9226372': 20.981944444444444}, {'9171060': 26.99972222222222}, {'9299501': 4.958888888888889}, {'9803675': 9.000555555555556}, {'9403619': 44.99638888888889}, {'9584475': 31.03361111111111}, {'9429223': 8.000833333333333}, {'9344253': 7.0}, {'9129469': 34.99916666666667}, {'9390111': 41.000277777777775}, {'9226372': 12.0}, {'9803704': 4.0}, {'9401130': 40.963055555555556}, {'9775751': 31.985833333333332}, {'9803675': 15.0225}, {'9354454': 8.965}, {'9399351': 97.9125}, {'9805568': 20.99972222222222}, {'9803704': 4.000555555555556}, {'9113721': 8.95138888888889}, {'9328027': 8.050277777777778}, {'8508400': 12.949444444444444}, {'9129469': 9.000833333333333}, {'9461374': 61.02444444444444}, {'9301108': 4.000277777777778}, {'9803699': 9.001388888888888}, {'9200677': 33.00611111111111}, {'9315214': 20.001666666666665}, {'9803687': 8.988055555555556}, {'9803699': 2.977777777777778}, {'9456721': 18.008333333333333}, {'9328027': 4.999722222222222}, {'9302243': 5.966111111111111}, {'9504047': 8.999444444444444}, {'9514755': 13.999722222222223}, {'9619919': 50.059444444444445}, {'9629419': 32.00194444444445}, {'9085546': 34.000277777777775}, {'9302243': 17.983333333333334}, {'9622239': 31.994444444444444}, {'9365996': 7.000277777777778}, {'9302255': 3.9677777777777776}, {'9513646': 22.037777777777777}, {'9387592': 7.0}, {'9504047': 6.023055555555556}, {'9195547': 8.028888888888888}, {'9264714': 5.000277777777778}, {'9314947': 18.948055555555555}, {'9803687': 11.999444444444444}, {'9584487': 14.999444444444444}, {'9514755': 12.988333333333333}, {'9213600': 25.90861111111111}, {'9448683': 3.0}, {'9355446': 1.0075}, {'9778791': 40.99472222222222}, {'9388522': 3.0}, {'9504047': 11.002222222222223}, {'9355446': 3.0205555555555557}, {'9298686': 15.053333333333333}, {'9234989': 6.050277777777778}, {'9504059': 26.994722222222222}, {'9226372': 3.9505555555555554}, {'9355331': 29.038611111111113}, {'9444728': 34.99916666666667}, {'8815786': 22.001666666666665}, {'9194309': 11.999722222222223}, {'9463877': 11.04}, {'9429235': 16.00027777777778}, {'9632131': 46.98027777777778}, {'9129469': 8.005833333333333}, {'9328027': 8.001111111111111}, {'9223904': 25.02}, {'9186405': 5.066111111111111}, {'9803699': 5.0119444444444445}, {'9328027': 5.001666666666667}, {'9252565': 23.997777777777777}, {'9229348': 31.950277777777778}, {'9328027': 7.0505555555555555}, {'9374973': 25.93888888888889}, {'9803675': 9.00611111111111}, {'9368041': 2.04}, {'9129469': 29.999166666666667}, {'9365960': 4.998333333333333}, {'9778545': 11.0}, {'9454888': 1.1111111111111112}, {'9619945': 52.977777777777774}, {'9354454': 7.022777777777778}, {'9365960': 38.00416666666667}, {'9401130': 31.058055555555555}, {'9803699': 15.001111111111111}, {'9368041': 14.000277777777777}, {'9803704': 7.0}, {'9354454': 3.0216666666666665}, {'9302255': 2.9897222222222224}, {'9129469': 6.033333333333333}, {'9803699': 2.000277777777778}]","[{'9355367': 21.002222222222223}, {'9313199': 5.249444444444444}, {'9365996': 25.35333333333333}, {'9803704': 10.018888888888888}, {'9631113': 23.99888888888889}, {'9388522': 4.0}, {'9504047': 6.985277777777778}, {'9803687': 9.999444444444444}, {'9803687': 16.100277777777777}, {'9504047': 34.95}, {'9400095': 25.99277777777778}, {'9129469': 6.9}, {'9803699': 9.981666666666667}, {'9328027': 5.959722222222222}, {'9775737': 8.0}, {'9649196': 14.8975}, {'9622253': 21.002777777777776}, {'9226372': 4.0}, {'9328027': 4.899166666666667}, {'9401697': 9.999166666666667}, {'9129469': 4.9991666666666665}, {'9323467': 1.998888888888889}, {'9803699': 6.973055555555556}, {'9504047': 6.0088888888888885}, {'9633941': 37.02972222222222}, {'9632117': 34.01861111111111}, {'9514755': 12.943333333333333}, {'9504047': 8.05}, {'9515022': 26.951944444444443}, {'9328027': 15.000555555555556}, {'9502910': 63.955555555555556}, {'9349227': 3.0325}, {'9302255': 10.991388888888888}, {'9349227': 21.999444444444446}, {'9311701': 23.955833333333334}, {'9775737': 19.950277777777778}, {'9436202': 2.999722222222222}, {'9368041': 13.999722222222223}, {'9462794': 34.95305555555556}, {'9290074': 14.002222222222223}, {'9348168': 15.936666666666667}, {'9514755': 11.986944444444445}, {'9162215': 44.9875}, {'9805568': 23.95}, {'9803675': 10.035555555555556}, {'9456745': 53.00833333333333}, {'9392925': 18.019444444444446}, {'9354454': 1.9952777777777777}, {'9767388': 73.00555555555556}, {'9454242': 11.046944444444444}, {'9440588': 5.8502777777777775}, {'9354454': 3.022222222222222}, {'9780469': 35.05833333333333}, {'9349227': 13.845833333333333}, {'9388522': 6.0}, {'9622253': 23.003055555555555}, {'9803675': 10.996944444444445}, {'9299501': 11.025}, {'9903138': 5.501111111111111}, {'9440588': 16.930833333333332}, {'9425382': 63.005833333333335}, {'9290074': 17.9525}, {'9803687': 7.999444444444444}, {'9504061': 3.0}, {'9234989': 12.008888888888889}, {'9903138': 62.004444444444445}, {'9780469': 18.99972222222222}, {'9803687': 11.999444444444444}, {'9805568': 21.0}, {'9649196': 41.02194444444444}, {'9328027': 3.0516666666666667}, {'9129469': 5.000555555555556}, {'9803704': 11.05}, {'9129469': 11.025555555555556}, {'9301847': 21.9875}, {'9429235': 3.0}, {'9803687': 7.022777777777778}, {'9129469': 2.999722222222222}, {'9429235': 13.035277777777777}, {'9355446': 2.9908333333333332}, {'9129469': 10.00361111111111}, {'9355446': 2.9219444444444442}, {'9363417': 20.002777777777776}, {'9328027': 5.0488888888888885}, {'9301847': 5.965277777777778}, {'9504047': 9.95}, {'9429194': 10.9425}, {'9301108': 8.951666666666666}, {'9129469': 34.98833333333334}, {'9234989': 3.000277777777778}, {'9633939': 34.0125}, {'9803704': 6.9991666666666665}, {'9780471': 68.9975}, {'9302255': 3.9827777777777778}, {'9801574': 131.6611111111111}, {'9803699': 6.000277777777778}, {'9619440': 18.990277777777777}, {'9301108': 24.999444444444446}, {'9504047': 4.95}, {'9234989': 2.0}, {'9295414': 22.996944444444445}, {'9803699': 14.002222222222223}, {'9436202': 10.024722222222222}, {'9365996': 7.013888888888889}, {'9302243': 2.9786111111111113}, {'9775763': 7.0}, {'9504047': 6.993888888888889}, {'9394894': 18.036666666666665}, {'9314210': 21.00138888888889}, {'9514755': 7.995833333333334}, {'9220897': 12.005277777777778}, {'9188506': 4.999722222222222}, {'9474383': 29.000833333333333}, {'9388522': 2.0505555555555555}, {'9436202': 6.0}, {'9368041': 7.999444444444444}, {'9440588': 5.001666666666667}, {'9017379': 21.0}, {'9354454': 4.986111111111111}, {'9436202': 8.020555555555555}, {'9220897': 6.020833333333333}, {'9456783': 67.04083333333334}, {'9514755': 8.007777777777777}, {'9803675': 13.979722222222222}, {'9775751': 9.05}, {'9514755': 4.9880555555555555}, {'9514755': 4.9366666666666665}, {'9775751': 2.995}, {'9803675': 5.000277777777778}, {'9502910': 44.00694444444444}, {'9354454': 10.005833333333333}, {'9354375': 3.999722222222222}, {'9480124': 32.0025}, {'9349227': 17.995}, {'9326964': 6.931388888888889}, {'9275971': 14.945833333333333}, {'9328027': 1.9522222222222223}, {'9368041': 9.749722222222223}, {'9234989': 5.716388888888889}, {'9483346': 5.960555555555556}, {'9444273': 52.00111111111111}, {'9584475': 23.0}, {'9328027': 4.001388888888889}, {'9244934': 37.015}, {'9130432': 35.99916666666667}, {'9307578': 10.008888888888889}, {'9328027': 6.0375}, {'9483346': 19.97833333333333}, {'9234989': 7.999722222222222}, {'9129469': 9.000555555555556}, {'9400174': 12.931111111111111}, {'9584475': 1.9497222222222221}, {'9326976': 14.937777777777777}, {'9803687': 7.993333333333333}, {'9803687': 8.998888888888889}, {'9632129': 58.93972222222222}, {'9129469': 26.03}, {'9288849': 33.09583333333333}, {'9298698': 16.988611111111112}, {'9805568': 18.0}, {'9803704': 12.016388888888889}, {'9302255': 4.950833333333334}, {'9153862': 28.085}, {'9803687': 5.1}, {'9394870': 22.038055555555555}, {'9803704': 7.0}, {'9803687': 20.050555555555555}, {'9226188': 11.956388888888888}, {'9368041': 1.05}, {'9622227': 20.99388888888889}, {'9632179': 54.00055555555556}, {'9388522': 2.0330555555555554}, {'9513646': 41.02972222222222}, {'9803687': 12.020277777777778}, {'9368041': 10.0}, {'9314947': 10.938333333333333}, {'9355446': 13.055}, {'9399052': 69.00027777777778}, {'9934905': 46.80277777777778}, {'9504047': 9.008611111111112}, {'9430375': 30.041944444444443}, {'9483695': 15.00361111111111}, {'9354454': 8.985555555555555}, {'9365996': 19.026944444444446}, {'9129469': 8.016944444444444}, {'9355446': 2.0144444444444445}, {'9303780': 11.906944444444445}, {'9865350': 43.00138888888889}, {'9803699': 6.007777777777778}, {'9456783': 42.00277777777778}, {'9387592': 2.000277777777778}, {'9234989': 4.999444444444444}, {'9355446': 2.0144444444444445}, {'9129469': 4.048611111111111}, {'9234989': 12.999722222222223}, {'9504047': 12.000277777777777}, {'9803699': 4.099722222222222}, {'9584487': 8.974166666666667}, {'9803675': 12.019444444444444}, {'9354454': 9.998888888888889}, {'9440588': 5.095277777777778}, {'9129469': 6.021388888888889}, {'9778806': 83.90666666666667}, {'9349227': 1.9997222222222222}, {'9305312': 24.98111111111111}, {'9514755': 9.010833333333334}, {'9803675': 7.037222222222222}, {'9108063': 5.905555555555556}, {'9456733': 86.00694444444444}, {'9173329': 4.993611111111111}, {'9805568': 25.05}, {'9514755': 10.021666666666667}, {'9173329': 21.00888888888889}, {'9803675': 8.043888888888889}, {'9631113': 14.997777777777777}, {'9328027': 3.0044444444444443}, {'9148453': 11.345555555555556}, {'9380403': 23.00722222222222}, {'9632167': 53.04638888888889}, {'9328027': 8.000277777777777}, {'9504059': 5.999722222222222}, {'9803687': 11.769722222222223}, {'9388522': 2.0}, {'9803704': 4.884166666666666}, {'9474383': 4.003333333333333}, {'9402029': 19.96638888888889}, {'9622203': 19.02027777777778}, {'9803687': 6.700277777777778}, {'9504035': 4.7508333333333335}, {'9368041': 8.961944444444445}, {'9803687': 1.9991666666666668}, {'9536076': 12.01}, {'9234989': 9.999722222222223}, {'9193264': 10.999166666666667}, {'9355446': 6.0925}, {'9234989': 2.991388888888889}]","[{'9302073': 16.99972222222222}, {'9803704': 6.099166666666667}, {'9368041': 1.9702777777777778}, {'9349227': 16.268055555555556}, {'9368041': 3.9494444444444445}, {'9803704': 17.93722222222222}, {'9355446': 5.993611111111111}, {'9399052': 50.007777777777775}, {'9504047': 11.000277777777777}, {'9368041': 8.005555555555556}, {'9129469': 3.9902777777777776}, {'9755933': 66.03722222222223}, {'9699189': 26.953055555555554}, {'9326976': 4.000277777777778}, {'9374973': 107.0}, {'9429194': 10.002777777777778}, {'9365996': 1.025}, {'9302255': 4.026388888888889}, {'9301108': 10.999722222222223}, {'9803675': 6.993611111111111}, {'9354454': 5.993055555555555}, {'9805568': 8.0}, {'9780445': 63.99888888888889}, {'9354454': 8.965277777777779}, {'9211482': 23.98361111111111}, {'9264714': 25.95388888888889}, {'9108063': 6.960833333333333}, {'9622215': 38.026944444444446}, {'9301108': 14.999722222222223}, {'9803699': 10.995277777777778}, {'9504047': 9.006944444444445}, {'9514755': 7.000555555555556}, {'9803699': 8.985555555555555}, {'9709128': 63.9575}, {'9130432': 14.95}, {'9399351': 97.59472222222222}, {'9514755': 3.9783333333333335}, {'9298686': 21.051388888888887}, {'9584487': 2.0616666666666665}, {'9632105': 47.98277777777778}, {'9148453': 6.332222222222223}, {'9412529': 2.998611111111111}, {'9348168': 14.013333333333334}, {'9388522': 2.9994444444444444}, {'9355343': 21.054166666666667}, {'9130432': 4.299722222222222}, {'9444716': 35.7425}, {'9805568': 16.000833333333333}, {'9857119': 8.93}, {'9803687': 15.0}, {'9328027': 6.001388888888889}, {'5056133': 2.06}, {'9148958': 10.973611111111111}, {'9803687': 7.036388888888889}, {'9354351': 16.00027777777778}, {'9321550': 37.000277777777775}, {'9363417': 20.0}, {'9619995': 44.040277777777774}, {'9349227': 9.001111111111111}, {'9786750': 14.956111111111111}, {'9328027': 8.000277777777777}, {'9429194': 4.021111111111111}, {'9227340': 18.001666666666665}, {'9328027': 9.036944444444444}, {'9803687': 6.980277777777777}, {'9234989': 12.000555555555556}, {'9321550': 27.900277777777777}, {'9302255': 5.05}, {'9619969': 41.01}, {'9491496': 13.060833333333333}, {'9234989': 18.00027777777778}, {'9162227': 34.99583333333333}, {'9803704': 7.020833333333333}, {'9355446': 2.921388888888889}, {'9504059': 13.049722222222222}, {'9326964': 2.933611111111111}, {'9234989': 4.000555555555556}, {'9368041': 7.0}, {'9409352': 24.001944444444444}, {'9220897': 17.95}, {'9368041': 5.1}, {'9223904': 46.10583333333334}, {'9221839': 20.11}, {'7221275': 15.87111111111111}, {'9365960': 8.091666666666667}, {'9755933': 34.99888888888889}, {'9299501': 3.9644444444444447}, {'9803704': 10.000277777777777}, {'9321536': 83.005}, {'9803699': 11.040277777777778}, {'9448683': 6.1002777777777775}, {'9130432': 9.949722222222222}, {'9504035': 15.098055555555556}, {'9803675': 6.07}, {'9803699': 8.983611111111111}, {'9354454': 8.034722222222221}, {'9430363': 37.99111111111111}, {'9803675': 79.00583333333333}, {'9264714': 5.999722222222222}, {'9865350': 21.27888888888889}, {'9619957': 42.915}, {'9349227': 14.0}, {'9354454': 8.9925}, {'9504047': 7.031666666666666}, {'9622241': 39.90222222222222}, {'9504047': 10.0225}, {'9349227': 6.8997222222222225}, {'9234989': 24.02138888888889}, {'9479943': 36.01638888888889}, {'9354454': 13.011111111111111}, {'9504047': 28.01638888888889}, {'9328027': 6.015555555555555}, {'9108063': 4.011111111111111}, {'9321550': 36.03138888888889}, {'9328027': 5.999444444444444}, {'9315226': 22.99861111111111}, {'9302255': 7.998333333333333}, {'9234989': 22.99972222222222}, {'9803675': 10.0325}, {'9504047': 51.99583333333333}, {'9456745': 86.05388888888889}, {'9108063': 23.00027777777778}, {'9514755': 8.012777777777778}, {'9514755': 29.965833333333332}, {'9622239': 21.988333333333333}, {'9780483': 59.04972222222222}, {'9368041': 15.999722222222223}, {'9365960': 3.0}, {'9215311': 39.996944444444445}, {'9368041': 12.980833333333333}, {'9805568': 9.100555555555555}, {'9355331': 21.92}, {'9803687': 5.983611111111111}, {'9360984': 1.9994444444444444}, {'9388522': 2.95}, {'9299501': 3.9697222222222224}, {'9314947': 19.093888888888888}, {'9130432': 10.01388888888889}, {'9368041': 13.918333333333333}, {'9803699': 10.105555555555556}, {'9355446': 4.9863888888888885}, {'9619921': 54.91777777777778}, {'9321536': 28.030555555555555}, {'9803704': 3.973333333333333}, {'9250165': 108.74972222222222}, {'9368041': 9.982777777777779}, {'9803687': 8.036944444444444}, {'9301847': 11.9875}, {'9302073': 12.049444444444445}, {'9803704': 14.051111111111112}, {'9504047': 8.014722222222222}, {'9412531': 7.003611111111111}, {'9354454': 9.978333333333333}, {'9349227': 10.999166666666667}, {'8813972': 24.990555555555556}, {'9234989': 28.903333333333332}, {'9355446': 3.9786111111111113}, {'9805568': 8.030833333333334}, {'9483346': 7.974166666666667}, {'9803699': 8.001388888888888}, {'9229532': 22.161666666666665}, {'9842085': 44.01166666666666}, {'9387592': 1.0008333333333332}, {'9785471': 25.03611111111111}, {'9290074': 26.956944444444446}, {'9504047': 6.989166666666667}, {'9129469': 1.0002777777777778}, {'9234989': 4.999444444444444}, {'9264714': 4.000277777777778}, {'9328027': 3.952777777777778}, {'9303780': 13.0}, {'9372200': 14.0175}, {'9402653': 15.087777777777777}, {'9108063': 8.918611111111112}, {'9365996': 17.0}, {'9328027': 7.955}, {'9803704': 11.979722222222222}, {'9428217': 8.0275}, {'9426817': 11.0}, {'9354454': 4.985}, {'9196852': 32.95361111111111}, {'9504724': 12.979166666666666}, {'9302255': 5.990277777777778}, {'9313204': 6.000277777777778}, {'9173329': 21.00888888888889}, {'9780457': 89.17305555555555}, {'9429194': 5.060833333333333}, {'9631113': 23.97833333333333}, {'9355367': 18.044166666666666}, {'9365960': 4.000555555555556}, {'9633941': 39.02611111111111}, {'9365960': 14.029722222222222}, {'9360984': 37.013888888888886}, {'9514755': 3.9788888888888887}, {'9514755': 5.062777777777778}, {'9803675': 8.059722222222222}, {'9619971': 54.08861111111111}, {'9480136': 38.00333333333333}, {'9299501': 6.015}, {'9444728': 45.05}, {'9354466': 4.003333333333333}, {'9349227': 14.990277777777777}, {'9803675': 1.9875}, {'9368041': 13.534444444444444}, {'9803675': 9.0575}, {'9842085': 39.94611111111111}, {'9448683': 6.998611111111111}, {'9803687': 13.985555555555555}, {'9412517': 14.000277777777777}, {'9252565': 10.980277777777777}, {'9368041': 2.999722222222222}, {'9504047': 5.0313888888888885}, {'9803687': 19.00027777777778}, {'9504047': 17.00027777777778}, {'9483669': 4.865833333333334}, {'9148453': 3.9244444444444446}, {'9328027': 3.0016666666666665}, {'9803704': 8.020277777777778}]"
apmt_port_calls_anchor_data,"[{'9632090': 21.096944444444443}, {'9431587': 33.15416666666667}, {'9318113': 59.193333333333335}, {'9368041': 3.8830555555555555}, {'9619933': 28.065}, {'9355343': 29.91777777777778}, {'9514755': 13.096111111111112}, {'9647473': 64.15}, {'9803699': 23.245833333333334}, {'9368041': 10.197777777777778}, {'9775749': 75.65583333333333}, {'9778844': 239.4922222222222}, {'9305312': 53.75055555555556}, {'9778533': 12.761111111111111}, {'9113721': 4.319444444444445}, {'9461374': 44.19}, {'9619919': 59.881388888888885}, {'9195547': 571.6058333333333}, {'9514755': 11.971111111111112}, {'9298686': 6.341388888888889}, {'9355331': 68.64222222222222}, {'9368041': 4.405555555555556}, {'9619945': 47.83555555555556}]","[{'9355367': 24.638055555555557}, {'9311701': 21.55027777777778}, {'9775737': 44.30777777777778}, {'9456745': 30.36}, {'9780469': 8.35}, {'9425382': 5.2122222222222225}, {'9129469': 11.800555555555556}, {'9301847': 4.480555555555555}, {'9363417': 10.00611111111111}, {'9295414': 29.16722222222222}, {'9394894': 10.350277777777778}, {'9314210': 14.839166666666667}, {'9188506': 4.506388888888889}, {'9017379': 45.62222222222222}, {'9502910': 62.80444444444444}, {'9349227': 1.7663888888888888}, {'9805568': 35.73138888888889}, {'9153862': 21.910555555555554}, {'9394870': 11.651666666666667}, {'9632179': 201.3047222222222}, {'9513646': 30.65277777777778}, {'9129469': 14.592222222222222}, {'9456783': 36.50333333333333}, {'9305312': 20.340555555555557}, {'9632167': 139.465}, {'9803704': 20.45}]","[{'9399052': 49.53333333333333}, {'9699189': 90.78}, {'9780445': 95.36666666666666}, {'9298686': 3.0055555555555555}, {'9348168': 7.728888888888889}, {'9355343': 44.02583333333333}, {'9363417': 15.790277777777778}, {'9619995': 82.53277777777778}, {'9786750': 85.46555555555555}, {'9326964': 3.937777777777778}, {'9409352': 5.583333333333333}, {'9220897': 10.572777777777778}, {'9354454': 3.296388888888889}, {'9234989': 16.4}, {'9108063': 8.818333333333333}, {'9321550': 37.365}, {'9315226': 30.656944444444445}, {'9355331': 28.98472222222222}, {'9301847': 12.240277777777777}, {'9302073': 151.1875}, {'9504047': 14.65}, {'9354454': 4.331111111111111}, {'9448683': 0.0}, {'9252565': 38.7125}]"
